president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,,
Donald Trump,All polls,7/3/2018,1/20/2017,1/22/2017,Morning Consult,B-,1992,rv,0.9464371,0,46,37,42.57074,39.47749,,,http://www.politico.com/story/2017/01/poll-voters-liked-trumps-inaugural-address-234148,49249,77261,1/23/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/20/2017,1/22/2017,Gallup,B,1500,a,0.2454292,0,45,45,46.10976,43.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/21/2017,1/23/2017,Gallup,B,1500,a,0.226788,0,45,46,46.10976,44.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/20/2017,1/24/2017,Ipsos,B+,1632,a,0.224456,0,42.1,45.2,42.36972,43.88869,,T,http://polling.reuters.com/#poll/CP3_2/,49426,77599,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2203903,0,57,43,51.76586,43.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49266,77278,1/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/22/2017,1/24/2017,Gallup,B,1500,a,0.2120474,0,46,45,47.10976,43.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/20/2017,1/25/2017,Quinnipiac University,A-,1190,rv,1.644662,0,36,44,37.69376,42.54246,,,https://poll.qu.edu/national/release-detail?ReleaseID=2415,49260,77272,1/26/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/21/2017,1/25/2017,Ipsos,B+,1651,a,0.2099484,0,42.3,45.8,42.56972,44.48869,,T,http://polling.reuters.com/#poll/CP3_2/,49425,77598,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/23/2017,1/24/2017,Public Policy Polling,B,1043,rv,1.165807,0,44,44,43.30305,44.4044,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,77249,1/25/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/23/2017,1/25/2017,YouGov,B,2692,a,1.577144,0,41,35,41.82018,37.45123,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/22/2017,1/26/2017,Ipsos,B+,1678,a,0.1992776,0,42.6,46.4,42.86972,45.08869,,T,http://polling.reuters.com/#poll/CP3_2/,49424,77597,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.20477,0,59,41,53.76586,41.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49247,77259,1/26/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/23/2017,1/25/2017,Gallup,B,1500,a,0.2001678,0,46,45,47.10976,43.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/24/2017,1/26/2017,Gallup,B,1500,a,0.190472,0,45,48,46.10976,46.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49242,77254,1/27/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/23/2017,1/27/2017,Ipsos,B+,1712,a,0.1914354,0,44.5,45.5,44.76972,44.18869,,T,http://polling.reuters.com/#poll/CP3_2/,49423,77596,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/24/2017,1/26/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1918633,0,55,45,49.76586,45.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49234,77246,1/27/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/25/2017,1/27/2017,Gallup,B,1500,a,0.1825002,0,42,50,43.10976,48.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49257,77269,1/28/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/24/2017,1/28/2017,Ipsos,B+,1684,a,0.1784696,0,45.4,46,45.66972,44.68869,,T,http://polling.reuters.com/#poll/CP3_2/,49422,77595,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/26/2017,1/28/2017,Morning Consult,B-,1991,rv,0.7914965,0,49,41,45.57074,43.47749,,,http://www.politico.com/story/2017/02/poll-donald-trump-voter-fraud-234458,49241,77253,1/29/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/26/2017,1/28/2017,Gallup,B,1500,a,0.1759301,0,42,51,43.10976,49.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49251,77263,1/29/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/25/2017,1/29/2017,Ipsos,B+,1630,a,0.1646691,0,48.2,45.1,48.46972,43.78869,,T,http://polling.reuters.com/#poll/CP3_2/,49421,77594,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/25/2017,1/29/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.103974,0,53,47,47.76586,47.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49239,77251,1/30/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/26/2017,1/30/2017,Ipsos,B+,2204,a,0.2132604,0,46.8,45.8,47.06972,44.48869,,T,http://polling.reuters.com/#poll/CP3_2/,49420,77593,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/27/2017,1/29/2017,Gallup,B,1500,a,0.1705319,0,43,50,44.10976,48.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49235,77247,1/30/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/26/2017,1/30/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2973784,0,51,49,45.76586,49.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49243,77255,1/31/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/26/2017,1/30/2017,SurveyMonkey,D-,4444,a,0.2124351,0,48,50,45.84014,48.53904,,,https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/,49240,77252,1/31/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/27/2017,1/31/2017,Ipsos,B+,3153,a,0.2940032,0,45.3,46.9,45.56972,45.58869,,T,http://polling.reuters.com/#poll/CP3_2/,49419,77592,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/28/2017,1/30/2017,Gallup,B,1500,a,0.1661397,0,43,51,44.10976,49.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49267,77279,1/31/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/28/2017,1/31/2017,YouGov,B,1500,a,0.8307608,0,43,44,43.82018,46.45123,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qg8b1mgh4b/econToplines.pdf,49268,77280,2/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/28/2017,2/1/2017,Ipsos,B+,3141,a,0.2846596,0,45,47.9,45.26972,46.58869,,T,http://polling.reuters.com/#poll/CP3_2/,49418,77591,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/29/2017,1/31/2017,Gallup,B,1500,a,0.1626348,0,43,52,44.10976,50.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49244,77256,2/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/27/2017,2/2/2017,IBD/TIPP,A-,885,a,1.517317,0,42,48,44.0829,46.26029,,,http://www.investors.com/wp-content/uploads/2017/02/IBDTIPP_Poll_2017_02.pdf,49269,77282,2/3/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/29/2017,1/31/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1551301,0,53,47,47.76586,47.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49250,77262,2/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/30/2017,2/1/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1516319,0,53,47,47.76586,47.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49258,77270,2/2/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/30/2017,2/1/2017,Gallup,B,1500,a,0.1599346,0,43,52,44.10976,50.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49232,77244,2/2/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/30/2017,1/31/2017,Public Policy Polling,B,725,rv,0.7824737,0,47,49,46.30305,49.4044,,,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,77250,2/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/29/2017,2/2/2017,Ipsos,B+,3154,a,0.2800674,0,45.3,47.4,45.56972,46.08869,,T,http://polling.reuters.com/#poll/CP3_2/,49417,77590,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/31/2017,2/2/2017,Gallup,B,1500,a,0.1579862,0,43,52,44.10976,50.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49233,77245,2/3/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/31/2017,2/2/2017,CNN/Opinion Research Corp.,B+,1002,a,1.544354,0,44,53,43.70592,51.44823,,,http://i2.cdn.turner.com/cnn/2017/images/02/03/rel2a.-.trump.pdf,49264,77276,2/3/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/30/2017,2/3/2017,Ipsos,B+,3368,a,0.2952999,0,44.9,47.7,45.16972,46.38869,,T,http://polling.reuters.com/#poll/CP3_2/,49416,77589,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/31/2017,2/2/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.148639,0,54,46,48.76586,46.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49263,77275,2/3/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/1/2017,2/3/2017,Gallup,B,1500,a,0.1562655,0,44,50,45.10976,48.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49248,77260,2/4/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/30/2017,2/5/2017,SurveyMonkey,D-,9219,a,0.2948259,0,46,52,43.84014,50.53904,,,https://blog.electiontracking.surveymonkey.com/2017/02/06/trump-approval-january-30-february-5/,49272,77286,2/6/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/1/2017,2/2/2017,CBS News,A-,1019,a,1.631781,0,40,48,41.16127,47.32074,,,http://www.cbsnews.com/news/americans-sharply-divided-along-partisan-lines-over-travel-ban-trump-cbs-news-poll/?ftag=CNM-00-10aab7e&linkId=34085362,49252,77264,2/3/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,1/31/2017,2/4/2017,Ipsos,B+,2774,a,0.2421593,0,45.2,47.7,45.46972,46.38869,,T,http://polling.reuters.com/#poll/CP3_2/,49415,77588,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/2/2017,2/4/2017,Gallup,B,1500,a,0.1547504,0,42,53,43.10976,51.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49265,77277,2/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/1/2017,2/5/2017,Ipsos,B+,1849,a,0.1614512,0,47.5,46.8,47.76972,45.48869,,T,http://polling.reuters.com/#poll/CP3_2/,49414,77587,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/2/2017,2/4/2017,Morning Consult,B-,2070,rv,0.7955751,0,47,46,43.57074,48.47749,,,http://www.politico.com/story/2017/02/trump-democrats-poll-234778,49275,77289,2/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/2/2017,2/4/2017,Zogby Interactive/JZ Analytics,C,860,lv,0.8962702,0,47,43,44.88889,44.23625,,,https://www.zogbyanalytics.com/news/768-voters-agree-with-president-trump-s-executive-orders-president-s-approval-rating-up,49270,77284,2/5/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/1/2017,2/5/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0870447,0,53,47,47.76586,47.39643,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49256,77268,2/6/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/2/2017,2/6/2017,Ipsos,B+,1869,a,0.1635153,0,47.1,47.5,47.36972,46.18869,,T,http://polling.reuters.com/#poll/CP3_2/,49413,77586,3/1/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/2/2017,2/6/2017,Quinnipiac University,A-,1155,rv,1.502467,0,42,51,43.69376,49.54246,,,https://poll.qu.edu/national/release-detail?ReleaseID=2427,49276,77290,2/7/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/2/2017,2/6/2017,McLaughlin & Associates,C-,1000,lv,0.7322547,0,48,48,43.96852,49.88081,,,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79636,11/16/2017,15:18:36  3 Jul 2018,,
Donald Trump,All polls,7/3/2018,2/3/2017,2/5/2017,Gallup,B,1500,a,0.1534224,0,42,52,43.10976,50.0396,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49261,77273,2/6/2017,15:18:36  3 Jul 2018,,
