Day,Date,Obama Approve,Obama Disapprove,Date,Bush Approve,Bush Disapprove
8,01/27/09,63.3,20,01/27/01,,
9,01/28/09,63.3,20,01/28/01,,
10,01/29/09,63.5,19.3,01/29/01,,
11,01/30/09,63.5,19.3,01/30/01,,
12,01/31/09,61.8,19.4,01/31/01,,
13,02/01/09,61.8,19.4,02/01/01,,
14,02/02/09,61.8,19.4,02/02/01,,
15,02/03/09,61.8,19.4,02/03/01,,
16,02/04/09,61.8,19.4,02/04/01,,
17,02/05/09,61.8,19.4,02/05/01,,
18,02/06/09,61.6,21.4,02/06/01,,
19,02/07/09,61.6,21.4,02/07/01,,
20,02/08/09,61.6,21.4,02/08/01,,
21,02/09/09,65.4,22.6,02/09/01,,
22,02/10/09,65.4,22.6,02/10/01,,
23,02/11/09,64.2,23.3,02/11/01,,
24,02/12/09,64.2,23.3,02/12/01,,
25,02/13/09,64.2,23.3,02/13/01,,
26,02/14/09,64.8,25.4,02/14/01,,
27,02/15/09,65.5,25.5,02/15/01,,
28,02/16/09,65.5,25.5,02/16/01,,
29,02/17/09,65.5,25.5,02/17/01,,
30,02/18/09,65.1,25.9,02/18/01,,
31,02/19/09,62.3,28.5,02/19/01,60,21
32,02/20/09,63.2,28.6,02/20/01,59.7,21.2
33,02/21/09,63.2,28.6,02/21/01,59.5,21.4
34,02/22/09,63.2,28.6,02/22/01,59.2,21
35,02/23/09,63,27.8,02/23/01,58.8,20.7
36,02/24/09,62.5,27.8,02/24/01,58.5,20.4
37,02/25/09,62.5,27.8,02/25/01,58.9,20.2
38,02/26/09,62.5,27.8,02/26/01,59.1,20.5
39,02/27/09,64.2,27.2,02/27/01,59.3,20
40,02/28/09,64.2,27.2,02/28/01,58.5,22
41,03/01/09,64.2,27.2,03/01/01,57.8,24.3
42,03/02/09,64.2,27.2,03/02/01,57.7,24.7
43,03/03/09,62.3,27.5,03/03/01,57.6,24.9
44,03/04/09,59.8,28.6,03/04/01,57.4,25.1
45,03/05/09,61.3,28,03/05/01,57.3,25.4
46,03/06/09,60.9,27.8,03/06/01,57.1,25.7
47,03/07/09,60.3,28.4,03/07/01,57,25.8
48,03/08/09,60.3,28.4,03/08/01,57.3,25.7
49,03/09/09,60.3,28.4,03/09/01,57,25.9
50,03/10/09,60.3,28.4,03/10/01,57.1,26.1
51,03/11/09,60.8,28.4,03/11/01,56.9,25.9
52,03/12/09,60.8,30.2,03/12/01,56.7,25.8
53,03/13/09,60.8,30.2,03/13/01,56.9,26
54,03/14/09,60.8,30.2,03/14/01,57,26.2
55,03/15/09,60.8,30.2,03/15/01,57.2,26
